ProductId,LocalOrderCode,Description,Price,weight,UnitOfMeasure,Quantity,Accessory,Title
1STQ009126A0000,PRVS8061,SEGR.VERT.REAR H=800MM W=600MM INT.UP.,0,0,pcs,1,,Segregations
1STQ009105A0000,PRVS8062,SEGR.VERT.REAR H=800MM W=600MM INT.UP.,0,0,pcs,1,,Segregations
1STQ009117A0000,PRVS8080,SEGR.VERT.REAR H=800MM W=800MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ009129A0000,PRVS8081,SEGR.VERT.REAR H=800MM W=800MM INT.UP.,0,0,pcs,1,,Segregations
1STQ009108A0000,PRVS8082,SEGR.VERT.REAR H=800MM W=800MM INT.UP.,0,0,pcs,1,,Segregations
1STQ001001M0000,PS110T3,PS110T3    Plinth 1PW H=100mm D=300mm,80.5,4.72,pcs,1,,Plinth
1STQ001002M0000,PS110T4,PS110T4    Plinth 1PW H=100mm D=400mm,81,5.08,pcs,1,,Plinth
1STQ001003M0000,PS110T6,PS110T6    Plinth 1PW H=100mm D=600mm,89,5.75,pcs,1,,Plinth
1STQ001004M0000,PS110T8,PS110T8    Plinth 1PW H=100mm D=800mm,95,6.46,pcs,1,,Plinth
1STQ001005M0000,PS210T3,PS210T3    Plinth 2PW H=100mm D=300mm,81.5,5.56,pcs,1,,Plinth
1STQ001006M0000,PS210T4,PS210T4    Plinth 2PW H=100mm D=400mm,84,5.92,pcs,1,,Plinth
1STQ001007M0000,PS210T6,PS210T6    Plinth 2PW H=100mm D=600mm,91.5,6.59,pcs,1,,Plinth
1STQ001008M0000,PS210T8,PS210T8    Plinth 2PW H=100mm D=800mm,97.5,7.3,pcs,1,,Plinth
1STQ001009M0000,PS310T3,PS310T3    Plinth 3PW H=100mm D=300mm,87.5,6.4,pcs,1,,Plinth
1STQ001010M0000,PS310T4,PS310T4    Plinth 3PW H=100mm D=400mm,90,6.76,pcs,1,,Plinth
1STQ001011M0000,PS310T6,PS310T6    Plinth 3PW H=100mm D=600mm,95.5,7.43,pcs,1,,Plinth
1STQ001012M0000,PS310T8,PS310T8    Plinth 3PW H=100mm D=800mm,103,8.14,pcs,1,,Plinth
1STQ001013M0000,PS410T3,PS410T3    Plinth 4PW H=100mm D=300mm,90.5,7.27,pcs,1,,Plinth
1STQ001014M0000,PS410T4,PS410T4    Plinth 4PW H=100mm D=400mm,97.5,7.63,pcs,1,,Plinth
1STQ001015M0000,PS410T6,PS410T6    Plinth 4PW H=100mm D=600mm,104,8.29,pcs,1,,Plinth
1STQ001016M0000,PS410T8,PS410T8    Plinth 4PW H=100mm D=800mm,111,9.01,pcs,1,,Plinth
1STQ001017M0000,PS510T3,PS510T3    Plinth 5PW H=100mm D=300mm,92,8.94,pcs,1,,Plinth
1STQ001018M0000,PS510T4,PS510T4    Plinth 5PW H=100mm D=400mm,108,9.3,pcs,1,,Plinth
1STQ001019M0000,PS510T6,PS510T6    Plinth 5PW H=100mm D=600mm,116,9.96,pcs,1,,Plinth
1STQ001020M0000,PS510T8,PS510T8    Plinth 5PW H=100mm D=800mm,122,10.68,pcs,1,,Plinth
1STQ008110A0000,PSAF0016,N.16 AXIAL SCREWS 3-WAY JOINING,15.95,0.66,pcs,1,Loose Item,Accessories
1STQ008113A0000,PSBS0065,CONNECTION KIT SIDE BY SIDE/REAR IP65,110,0.39,pcs,1,,Structure
1STQ009317A0000,PSBV1863,KIT VER.BUSBARS FIX.H=1800 W=600 3P 50kA,0,0,pcs,1,,Busbar Holders
1STQ009987A0000,PSBV1864,KIT VER.BUSBARS FIX.H=1800 W=600 4P 50kA,0,0,pcs,1,,Busbar Holders
PSBV2006,PSBV2006,PSBV2006,0,0,pcs,1,,Busbar Holders
PSBV2006A,PSBV2006A,PSBV2006A,0,0,pcs,1,,Busbar Holders
1STQ009335A0000,PSBV2063,KIT VER.BUSBARS FIX.H=2000 W=600 3P 50kA,0,0,pcs,1,,Busbar Holders
1STQ009988A0000,PSBV2064,KIT VER.BUSBARS FIX.H=2000 W=600 4P 50kA,0,0,pcs,1,,Busbar Holders
1STQ001398B0000,PSBV3475,KIT ADDICTIONAL INSOLATORS 3/4P 75kA,0,0,pcs,1,,Busbar Holders
1STQ009606A0000,PSCB0002,MOUNTING SCREWS 2 BUSBARS PER PHASE,2.6,0.22,pcs,1,,Busbar Holders
1STQ002527M0000,PSCB0002A,MOUNTING SCREWS 2 BUSBARS PER PHASE,2.9,0,pcs,1,,Busbar Holders
1STQ009631A0000,PSCB0004,MOUNTING SCREWS 4 BUSBARS PER PHASE,3,0.27,pcs,1,,Busbar Holders
1STQ002528M0000,PSCB0004A,MOUNTING SCREWS 4 BUSBARS PER PHASE,3.3,0,pcs,1,,Busbar Holders
1STQ003718B0000,PSCB0006,MOUNTING SCREWS 6 BUSBARS FOR PHASE,3.6,0.2,pcs,1,,Busbar Holders
1STQ002529M0000,PSCB0006A,MOUNTING SCREWS 6 BUSBARS FOR PHASE,4,0,pcs,1,,Busbar Holders
1STQ009324A0000,PSCB1832,SEGREG.CC L=300 H=1800 INTER.BUSBAR 200,0,0,pcs,1,,Segregations
1STQ009328A0000,PSCB1842,SEGREG.CC L=400 H=1800 INTER.BUSBAR 200,0,0,pcs,1,,Segregations
1STQ009329A0000,PSCB1862,SEGREG.CC L=600 H=1800 INTER.BUSBAR 200,0,0,pcs,1,,Segregations
1STQ009339A0000,PSCB2032,SEGREG.CC L=300 H=2000 INTER.BUSBAR 200,0,0,pcs,1,,Segregations
1STQ009343A0000,PSCB2042,SEGREG.CC L=400 H=2000 INTER.BUSBAR 200,0,0,pcs,1,,Segregations
1STQ009344A0000,PSCB2062,SEGREG.CC L=600 H=2000 INTER.BUSBAR 200,0,0,pcs,1,,Segregations
1STQ009182A0000,PSCP0024,N.24 SCREWS FOR SIDE/LATERAL PA,33.7,0.28,pcs,1,Loose Item,Accessories
1STQ009185A0000,PSCS0579,CONNECTION KIT FOR CORNER STRUC,183,0.52,pcs,1,,Structure
1STQ009880A0000,PSCX1060,LEXAN FOR PRE-CUTS FOR CELL H=100MM,0,0,pcs,1,,Interior Fitting
1STQ009885A0000,PSCX1560,LEXAN FOR PRE-CUTS FOR CELL H=150MM,0,0,pcs,1,,Interior Fitting
1STQ009903A0000,PSCX2060,LEXAN FOR PRE-CUTS FOR CELL H=200MM,0,0,pcs,1,,Interior Fitting
1STQ009889A0000,PSCX2560,LEXAN FOR PRE-CUTS FOR CELL H=250MM,0,0,pcs,1,,Interior Fitting
1STQ009893A0000,PSCX3560,LEXAN FOR PRE-CUTS FOR CELL H=350MM,0,0,pcs,1,,Interior Fitting
1STQ001589B0000,PSES0008,EXTERNAL CONNECTION KIT,114,1.5,pcs,1,,Structure
1STQ005273B0000,PSES0009,Mixed kit for joining structures,112,0.8,pcs,1,,Structure
1STQ004636B0000,PSFE425318,RBS CONN.E4.2 FIX 3P 2500A_P1_D800 SHIFT,3937.3,0,pcs,1,,Copper Parts
1STQ002530M0000,PSFE425318A,RBS CONN.E4.2 FIX 3P 2500A_P1_D800 SHIFT,4403.6,0,pcs,1,,Copper Parts
1STQ004637B0000,PSFE425326,RBS CONN.E4.2 FIX 3P 2500A_P2_D600 SHIFT,1842.8,0,pcs,1,,Copper Parts
1STQ002531M0000,PSFE425326A,RBS CONN.E4.2 FIX 3P 2500A_P2_D600 SHIFT,2061,0,pcs,1,,Copper Parts
1STQ004638B0000,PSFE425338,RBS CONN.E4.2 FIX 3P 2500A_P3_D800 SHIFT,3239.1,0,pcs,1,,Copper Parts
1STQ002532M0000,PSFE425338A,RBS CONN.E4.2 FIX 3P 2500A_P3_D800 SHIFT,3622.7,0,pcs,1,,Copper Parts
1STQ004639B0000,PSFE432318,RBS CONN.E4.2 FIX 3P 3200A_P1_D800 SHIFT,1606.7,0,pcs,1,,Copper Parts
1STQ002533M0000,PSFE432318A,RBS CONN.E4.2 FIX 3P 3200A_P1_D800 SHIFT,1797,0,pcs,1,,Copper Parts
1STQ004640B0000,PSFE432326,RBS CONN.E4.2 FIX 3P 3200A_P2_D600 SHIFT,1726.5,0,pcs,1,,Copper Parts
1STQ002534M0000,PSFE432326A,RBS CONN.E4.2 FIX 3P 3200A_P2_D600 SHIFT,1930.9,0,pcs,1,,Copper Parts
1STQ004641B0000,PSFE432338,RBS CONN.E4.2 FIX 3P 3200A_P3_D800 SHIFT,3488.6,0,pcs,1,,Copper Parts
1STQ002535M0000,PSFE432338A,RBS CONN.E4.2 FIX 3P 3200A_P3_D800 SHIFT,3901.7,0,pcs,1,,Copper Parts
1STQ004642B0000,PSFE440318,RBS CONN.E4.2 FIX 3P 4000A_P1_D800 SHIFT,1702.3,0,pcs,1,,Copper Parts
1STQ002536M0000,PSFE440318A,RBS CONN.E4.2 FIX 3P 4000A_P1_D800 SHIFT,1903.9,0,pcs,1,,Copper Parts
1STQ004643B0000,PSFE440328,RBS CONN.E4.2 FIX 3P 4000A_P2_D800 SHIFT,1874.4,0,pcs,1,,Copper Parts
1STQ002537M0000,PSFE440328A,RBS CONN.E4.2 FIX 3P 4000A_P2_D800 SHIFT,2096.3,0,pcs,1,,Copper Parts
1STQ004671B0000,PSFE640118,RBS CONN.E6.2 FI 4PFS 4000A_P1_D800 SHIFT,5314.2,0,pcs,1,,Copper Parts
1STQ002538M0000,PSFE640118A,RBS CONN.E6.2 FI 4PFS 4000A_P1_D800 SHIFT,5943.6,0,pcs,1,,Copper Parts
1STQ004675B0000,PSFE640128,RBS CONN.E6.2 FI 4PFS 4000A_P2_D800 SHIFT,4544.7,0,pcs,1,,Copper Parts
1STQ002539M0000,PSFE640128A,RBS CONN.E6.2 FI 4PFS 4000A_P2_D800 SHIFT,5082.9,0,pcs,1,,Copper Parts
1STQ004679B0000,PSFE640138,RBS CONN.E6.2 FI 4PFS 4000A_P3_D800 SHIFT,4794.8,0,pcs,1,,Copper Parts
1STQ002540M0000,PSFE640138A,RBS CONN.E6.2 FI 4PFS 4000A_P3_D800 SHIFT,5362.7,0,pcs,1,,Copper Parts
1STQ004673B0000,PSFE650118,RBS CONN.E6.2 FI 4PFS 5000A_P1_D800 SHIFT,6270.9,0,pcs,1,,Copper Parts
1STQ002541M0000,PSFE650118A,RBS CONN.E6.2 FI 4PFS 5000A_P1_D800 SHIFT,7013.6,0,pcs,1,,Copper Parts
1STQ004677B0000,PSFE650128,RBS CONN.E6.2 FI 4PFS 5000A_P2_D800 SHIFT,5393.4,0,pcs,1,,Copper Parts
1STQ002542M0000,PSFE650128A,RBS CONN.E6.2 FI 4PFS 5000A_P2_D800 SHIFT,6032.2,0,pcs,1,,Copper Parts
1STQ004681B0000,PSFE650138,RBS CONN.E6.2 FI 4PFS 5000A_P3_D800 SHIFT,5107.1,0,pcs,1,,Copper Parts
1STQ002543M0000,PSFE650138A,RBS CONN.E6.2 FI 4PFS 5000A_P3_D800 SHIFT,5712,0,pcs,1,,Copper Parts
