Item;Description;Description ;Beschreibung;M;L;DIN;ISO;UNI;Weight;ArtNr. SUJ;Beschreibung
VTPS8X40I;SCREW TPS 5933 A2 8X22;Hexagon socket countersunk head screws (fully threaded);Senkschrauben (mit Innensechskant, ohne Schaft);8;40;7991;10642;10642;0.015;132458;Senkschr.-I.6kt M8x40mm DIN7991 A2
VTPSEI10X60;SCREW TPS 5933 A2 8X23;Hexagon socket countersunk head screws (fully threaded);Senkschrauben (mit Innensechskant, ohne Schaft);10;60;7991;10642;10642;0.035;132460;Senkschr.-I.6kt M10x60mm DIN7991 A2
VTPSEI8X60;SCREW TPS 5933 A2 8X24;Hexagon socket countersunk head screws (fully threaded);Senkschrauben (mit Innensechskant, ohne Schaft);8;60;7991;10642;10642;0.025;132459;Senkschr.-I.6kt M8x60mm DIN7991 A2
VTPSI10X60;MISSING;MISSING;MISSING;10;60;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
VTPSI10X70;MISSING;MISSING;MISSING;70;70;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
ZX650;COPPER COMPENSATOR;COPPER COMPENSATOR;ZX650      Cu-Zwischenstück für CU-60x10;0;0;0;0;0;0,153472222;2CPX046087R9999;ZX650      Cu-Zwischenstück für CU-60x10
ZX651;COPPER CILINDER H10;COPPER CILINDER H10;ZX651      Cu-Distanzrolle 30x12,5x10mm;0;0;0;0;0;0.084;2CPX046088R9999;ZX651      Cu-Distanzrolle 30x12,5x10mm
ZX652;COPPER CILINDER H20;COPPER CILINDER H20;ZX652      Cu-Distanzrolle 30x12,5x20mm;0;0;0;0;0;0,106944444;2CPX046089R9999;ZX652      Cu-Distanzrolle 30x12,5x20mm
ZX653;COPPER CILINDER H30;COPPER CILINDER H30;ZX653      CU-Distanzrolle 30x12,5x30mm;0;0;0;0;0;0,154861111;2CPX046090R9999;ZX653      CU-Distanzrolle 30x12,5x30mm
ZX657;NUT WITH BRAKET M12;NUT WITH BRAKET M12;ZX657      Gewindeplatte M12;0;0;0;0;0;0.065;2CPX046094R9999;ZX657      Gewindeplatte M12
10905;NUT E-8-U5588-D934 M8;Hex nut nominal height - 0,8d ;Sechskantmuttern - 0,8d ;8;0;934;4032;5588;0.007;10905;Sechskantmutter M8  DIN934 verz.
10907;NUT E-8-U5588-D934 M12;Hex nut nominal height - 0,8d ;Sechskantmuttern - 0,8d ;12;0;934;4032;5588;0.011;10907;Sechskantmutter M12
10918;SCREW TE 4.8 UNI 5739-DIN933 8X25;Hex cap screws;Sechskantschrauben ;8;25;933;4017;5739;0,096527778;10918;Sechskantschraube M8x25
10919;SCREW TE 4.8 UNI5739-DIN933 8X30;Hex cap screws;Sechskantschrauben ;8;30;933;4017;5739;0,107638889;10919;Sechskantschraube M8x30mm DIN933 8.8 vz
10926;SCREW T.ESAGONALE M10X25 ZB;Hex cap screws;Sechskantschrauben ;10;25;933;4017;5739;0,096527778;10926;Sechskantschraube M10x25mm DIN933 8.8 vz
10927;SCREW TE  U5739 10X30 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;10;30;933;4017;5739;0,107638889;10927;Sechskantschraube M10x30
10929;SCREW TE  M10X40 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;10;40;933;4017;5739;0,129861111;10929;Sechskantschraube M10x40mm DIN933 8.8 vz
10931;SCREW T.ES.M10X60;Hex cap screws;Sechskantschrauben ;10;60;933;4017;5739;0.025;10931;Sechskantschraube M10x60mm DIN933 8.8 vz
10932;SCREW TE  U5739 10X70 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;10;70;933;4017;5739;0,195833333;10932;Sechskantschraube M10x70mm DIN933 8.8 vz
10937;SCREW M12X35 LODI UNIONE STACCO/BARRE;Hex cap screws;Sechskantschrauben ;12;35;933;4017;5739;0,286805556;10937;Sechskantschraube M12x35mm DIN933 8.8 vz
10938;SCREW TE  U5739 12X40 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;40;933;4017;5739;0,311805556;10938;Sechskantschraube M12x40mm DIN933 8.8 vz
10961;SCREW TE  U5739 12X80 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;80;933;4017;5739;0,511111111;10961;Sechskantschraube M12x80mm DIN931 8.8 vz
12685;WHASER C60 8,2X20X0,9;Disc springs ;Tellerfedern;8;0;6796;0;8737A;0.002;12685;SPANNSCHEIBE A8,4
12686;WHASER C60 10,2X22X1,2 ZINC COAT.;Disc springs ;Tellerfedern;10;0;6796;0;8737A;0.002;12686;Spannscheibe (DIN 6796-10)
12687;GZN 490 084 P0109 RON.TAZZA D.INT.12,5X3;Disc springs ;Tellerfedern;12;0;6796;0;8737A;0.003;12687;Spannscheibe (DIN 6796-12)
100611;SCREW TPS 5933 A2 8X20;Hexagon socket countersunk head screws (fully threaded);Senkschrauben (mit Innensechskant, ohne Schaft);8;20;7991;10642;10642;0.009;100611;Senkschraube M8x20mm  DIN7991 verz.
102786;SCREW TPS 5933 A2 8X21;Spring pins (clamping sleeves), light version;Spannstifte (Spannhülsen), leichte Ausführung;4;20;7346;13337;6874;0.012;102786;Spannstift 4x20-St DIN7346
103837;SCREW TE  U5739 12X65 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;65;933;4017;5739;0,436111111;103837;Sechskantschraube M12x65mm DIN933 8.8 vz
10921A;Sechskantschraube M8x40mm DIN933 8.8 vz;MISSING;Sechskantschraube M8x40mm DIN933 8.8 vz;0;0;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
10928A;Sechskantschraube M10x35mm DIN933 8.8 vz;MISSING;Sechskantschraube M10x35mm DIN933 8.8 vz;0;0;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
117720;ZX763 10 X M12 X 35;MISSING;ZX763 10 X M12 X 35;0;0;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
115618;ZX219  9 X SPANNSCHEIBE M12;MISSING;ZX219  9 X SPANNSCHEIBE M12;0;0;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
117784;ZX721  3 X M8 X 25;MISSING;ZX721  3 X M8 X 25;0;0;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
114268;ZX217  3 X SPANNSCHEIBE M8;MISSING;ZX217  3 X SPANNSCHEIBE M8;0;0;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
114558;ZX763  4 X M12 X35;MISSING;ZX763  4 X M12 X35;0;0;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
114294;ZX219  12 X SPANNSCHEIBE M12;MISSING;ZX219  12 X SPANNSCHEIBE M12;0;0;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
114299;ZX219  10 X SPANNSCHEIBE M12;MISSING;ZX219  10 X SPANNSCHEIBE M12;0;0;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
115617;ZX763  3 X M12 X35;MISSING;ZX763  3 X M12 X35;0;0;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
114295;ZX219  15 X SPANNSCHEIBE M12;MISSING;ZX219  15 X SPANNSCHEIBE M12;0;0;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
